trial,coCond Force(0) Move(1),ffCond0 [N/(mm/s)],ffCond1 [N/(mm/s)],ffCond2 [N/(mm/s)],ffCond3 [N/(mm/s)],ffCond4 [N/(mm/s)],ffCond5 [N/(mm/s)],ffCond6 [N/(mm/s)],ffCond7 [N/(mm/s)],vmCond [deg],targetAngle[deg],targetDistance[mm],targetForce[N],targetColor,errorCramp
1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000
fs[Hz],recordTime[ms],maxSample,ks[N/mm],kb[N/(mm/s)],kConnection[N/mm],dConnection[N/(mm/s)],VisNoisePosSTD,VisNoiseVelSTD,ConnectionType
1000,15000,15001,0.800000,0.000100,0.100000,0.000100,10.0,5.0,0
targetRadius[mm],cursorRadius[mm],pOffset[mm], , ,dOffset
5.000000,3.000000,0.000000,450.000000,10.000000,0.000000,0.000000,0.000000
p2dScale,p2dScaleForForce,p2dMatrix
1.000000,-nan(ind),1.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,1.000000,0.000000
 , , ,
 , , ,
 , , ,
time[ms],instRate[Hz],posX[mm],posY[mm],posZ[mm],velX[mm],velY[mm],velZ[mm],forceX[N],forceY[N],forceZ[N],TargetX,TargetY
10446,1010.818176,6.280228,160.377792,-0.352600,0.000164,0.014238,0.034036,0.000000,-0.000000,0.282080,23.173706,11.435577
10447,978.939148,6.280228,160.377792,-0.352600,0.000119,0.010345,0.024729,0.000000,-0.000000,0.282080,23.386198,11.540301
10448,1009.945007,6.280228,160.377792,-0.352600,0.000087,0.007516,0.017966,0.000000,-0.000000,0.282080,23.598334,11.644639
10449,969.737061,6.280228,160.377792,-0.352600,0.000063,0.005461,0.013053,0.000000,-0.000000,0.282080,23.810110,11.748588
10450,1014.032654,6.280228,160.377792,-0.352600,0.000046,0.003967,0.009484,0.000000,-0.000000,0.282080,24.021524,11.852146
10451,1030.416870,6.280228,160.377792,-0.352600,0.000033,0.002882,0.006890,0.000000,-0.000000,0.282080,24.232572,11.955309
10452,988.317566,6.280228,160.377792,-0.352600,0.000024,0.002094,0.005006,0.000000,-0.000000,0.282080,24.443251,12.058074
10453,993.637085,6.278604,160.377609,-0.352600,-0.220716,-0.021900,0.003637,0.000000,-0.000000,0.282080,24.653559,12.160438
10454,1030.719604,6.278604,160.377609,-0.352600,-0.381093,-0.039333,0.002643,0.000000,-0.000000,0.282080,24.863492,12.262397
10455,975.942932,6.278604,160.377609,-0.352600,-0.276880,-0.028577,0.001920,0.000000,-0.000000,0.282080,25.073047,12.363949
